step q1 q2 q3 q4 q5 q6
0 -0.000198362088503592 -0.00345246484319477 0.250262452043033 3.13215457611765 0.123211357116248 -3.13794012540889
1 0.107100705034875 0.0264010475303616 0.204606727854490 0.00624914746756575 0.940238820225863 -1.87180888959144
2 0.215824589226662 0.0575304375202844 0.157940818291217 -0.0460299109268734 0.0121429912113312 -1.50221576735202
3 0.325844760496998 0.0899188413974686 0.110533373575096 -0.0203524868727590 0.951704586512011 -1.45790853759971
4 0.436977497708510 0.123542156904938 0.0626384082710112 -0.381085371080281 0.269014400814237 0.408036765931992
5 0.570619036051771 0.165200947013877 0.00520569566556245 -0.622568012672535 0.358070331032995 -0.832153128180876
6 0.705080446906107 0.208503309110506 -0.0523018408692071 -0.0558152364233021 1.28451843518461 -0.682031935076944
7 0.839896061607693 0.253366747328429 -0.109691903708872 -0.731646113125541 0.724789021473645 0.784298646697484
8 0.974604241280698 0.299693014234332 -0.166896356288510 -2.77700045154933 1.34454002733610 1.25968168898931
9 1.08514196517201 0.338838239371601 -0.213888649263262 -0.0296097627504493 1.42540843698818 -0.534746912162680
10 1.19510613946031 0.378826449730054 -0.260894174503687 -2.79456698897224 1.51547859839300 1.30679868964737
11 1.29289326740170 0.415257206549503 -0.303091749648588 -3.09243753603812 1.66636323280292 1.67003334013189
12 1.38998311928234 0.452242140366489 -0.345561122897052 -2.38941375162389 1.50462399505143 1.30961496434449
13 1.46377647685735 0.480861238818115 -0.378334279110866 -0.00641213163175377 1.46747862886843 -0.115539165254968
14 1.53710170180397 0.509740354102320 -0.411441781820473 -1.67380757191788 1.53667955779050 1.43966607340081
15 1.59881450574698 0.534359215422712 -0.439787389901756 -1.06752614184461 1.54323824580215 1.43891525203543
16 1.66018561224582 0.559127085498659 -0.468484955473909 -1.44969424595075 1.64396104068322 1.54832186204703
17 1.68854207171073 0.570657205289690 -0.481927780843311 -1.47552257293373 1.67604514097100 1.57505834430327
18 1.71682698282621 0.582214201853686 -0.495462880366629 -0.509614631517190 1.56537787673523 1.54920390125030
19 1.74504143653709 0.593796511036417 -0.509095476850155 -1.52733470619020 1.74001363130828 1.62832910703196
20 1.77318673568349 0.605402614117011 -0.522830754682584 -0.383064329090121 1.57077808456564 3.14125759532878
